timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778592446005,19,Sign Out-0,302,Found,Thread Group 1-8,,true,,330,646,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,19,0,0
1778592446024,23,Sign Out-1,200,OK,Thread Group 1-8,text,true,,4919,637,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,23,0,0
1778592446032,15,Main Catalog,200,OK,Thread Group 1-20,text,true,,4832,615,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,15,0,0
1778592446035,12,Main Catalog,200,OK,Thread Group 1-15,text,true,,4832,615,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,12,0,0
1778592445980,68,Login,200,OK,Thread Group 1-3,text,true,,5262,1713,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,54,0,0
1778592445980,54,Login-0,302,Found,Thread Group 1-3,,true,,193,984,25,25,http://localhost:8080/jpetstore/actions/Account.action,54,0,0
1778592446034,14,Login-1,200,OK,Thread Group 1-3,text,true,,5069,729,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,14,0,0
1778592446038,11,Login,200,OK,Thread Group 1-13,text,true,,5262,1713,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,7,0,0
1778592446038,7,Login-0,302,Found,Thread Group 1-13,,true,,193,984,25,25,http://localhost:8080/jpetstore/actions/Account.action,7,0,0
1778592446045,4,Login-1,200,OK,Thread Group 1-13,text,true,,5069,729,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1778592446012,37,Reptiles,200,OK,Thread Group 1-4,text,true,,3712,249,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,37,0,0
1778592446041,8,Main Catalog,200,OK,Thread Group 1-7,text,true,,4832,615,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,8,0,0
1778592446028,22,Login,200,OK,Thread Group 1-9,text,true,,5262,1713,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,9,0,0
1778592446028,9,Login-0,302,Found,Thread Group 1-9,,true,,193,984,25,25,http://localhost:8080/jpetstore/actions/Account.action,9,0,0
1778592446037,13,Login-1,200,OK,Thread Group 1-9,text,true,,5069,729,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,13,0,0
1778592446014,38,Login,200,OK,Thread Group 1-16,text,true,,5262,1713,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,24,0,0
1778592446014,24,Login-0,302,Found,Thread Group 1-16,,true,,193,984,25,25,http://localhost:8080/jpetstore/actions/Account.action,24,0,0
1778592446038,14,Login-1,200,OK,Thread Group 1-16,text,true,,5069,729,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,14,0,0
1778592446047,6,Sign In,200,OK,Thread Group 1-20,text,true,,3923,649,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,6,0,0
1778592445986,67,Sign Out,200,OK,Thread Group 1-19,text,true,,5249,1283,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,49,0,0
1778592445986,49,Sign Out-0,302,Found,Thread Group 1-19,,true,,330,646,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,49,0,0
1778592446035,18,Sign Out-1,200,OK,Thread Group 1-19,text,true,,4919,637,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,18,0,0
1778592446035,20,Login,200,OK,Thread Group 1-18,text,true,,5262,1713,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,8,0,0
1778592446035,8,Login-0,302,Found,Thread Group 1-18,,true,,193,984,25,25,http://localhost:8080/jpetstore/actions/Account.action,8,0,0
1778592446043,12,Login-1,200,OK,Thread Group 1-18,text,true,,5069,729,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,12,0,0
1778592446027,28,Login,200,OK,Thread Group 1-11,text,true,,5262,1713,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,13,0,0
1778592446027,13,Login-0,302,Found,Thread Group 1-11,,true,,193,984,25,25,http://localhost:8080/jpetstore/actions/Account.action,13,0,0
1778592446040,15,Login-1,200,OK,Thread Group 1-11,text,true,,5069,729,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,15,0,0
1778592446023,33,Login,200,OK,Thread Group 1-2,text,true,,5262,1713,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,17,0,0
1778592446023,17,Login-0,302,Found,Thread Group 1-2,,true,,193,984,25,25,http://localhost:8080/jpetstore/actions/Account.action,17,0,0
1778592446040,16,Login-1,200,OK,Thread Group 1-2,text,true,,5069,729,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,16,0,0
1778592446014,42,Home,200,OK,Thread Group 1-17,text,true,,1351,193,25,25,http://localhost:8080/jpetstore/,42,0,0
1778592446049,9,Dogs,200,OK,Thread Group 1-13,text,true,,4296,245,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,9,0,0
1778592446040,18,Home,200,OK,Thread Group 1-1,text,true,,1351,193,25,25,http://localhost:8080/jpetstore/,18,0,0
1778592446049,10,Sign In,200,OK,Thread Group 1-7,text,true,,3923,649,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,10,0,0
1778592446031,28,Home,200,OK,Thread Group 1-14,text,true,,1351,193,25,25,http://localhost:8080/jpetstore/,28,0,0
1778592446032,27,Dogs,200,OK,Thread Group 1-5,text,true,,4296,245,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,27,0,0
1778592446044,18,Home,200,OK,Thread Group 1-21,text,true,,1351,193,25,25,http://localhost:8080/jpetstore/,18,0,0
1778592446049,13,Reptiles,200,OK,Thread Group 1-3,text,true,,3712,249,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,13,0,0
1778592446034,29,Home,200,OK,Thread Group 1-24,text,true,,1351,193,25,25,http://localhost:8080/jpetstore/,29,0,0
1778592446038,25,Birds,200,OK,Thread Group 1-6,text,true,,3710,246,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS,25,0,0
1778592446038,389,Home,200,OK,Thread Group 1-25,text,true,,1351,193,25,25,http://localhost:8080/jpetstore/,389,0,0
1778592446056,375,Main Catalog,200,OK,Thread Group 1-17,text,true,,4832,615,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,375,0,0
1778592446430,4,Main Catalog,200,OK,Thread Group 1-25,text,true,,4832,615,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1778592446060,378,Main Catalog,200,OK,Thread Group 1-1,text,true,,4832,615,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,378,0,0
1778592446055,383,Reptiles,200,OK,Thread Group 1-11,text,true,,3712,249,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,383,0,0
1778592446055,384,Reptiles,200,OK,Thread Group 1-18,text,true,,3712,249,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,384,0,0
1778592446053,389,Home,200,OK,Thread Group 1-19,text,true,,1351,193,25,25,http://localhost:8080/jpetstore/,389,0,0
1778592446050,392,Reptiles,200,OK,Thread Group 1-9,text,true,,3712,249,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,392,0,0
1778592446036,407,Login,200,OK,Thread Group 1-23,text,true,,5262,1713,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,25,0,0
1778592446036,25,Login-0,302,Found,Thread Group 1-23,,true,,193,984,25,25,http://localhost:8080/jpetstore/actions/Account.action,25,0,0
1778592446061,382,Login-1,200,OK,Thread Group 1-23,text,true,,5069,729,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,382,0,0
1778592446435,9,Sign In,200,OK,Thread Group 1-17,text,true,,3923,649,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,9,0,0
1778592446043,402,Sign Out,200,OK,Thread Group 1-10,text,true,,5249,1283,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,10,0,0
1778592446043,10,Sign Out-0,302,Found,Thread Group 1-10,,true,,330,646,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,10,0,0
1778592446053,392,Sign Out-1,200,OK,Thread Group 1-10,text,true,,4919,637,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,392,0,0
1778592446049,397,Sign Out,200,OK,Thread Group 1-4,text,true,,5249,1283,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,11,0,0
1778592446049,11,Sign Out-0,302,Found,Thread Group 1-4,,true,,330,646,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,11,0,0
1778592446060,386,Sign Out-1,200,OK,Thread Group 1-4,text,true,,4919,637,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,386,0,0
1778592446443,3,Main Catalog,200,OK,Thread Group 1-19,text,true,,4832,615,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
